lambda	n1-Au	k1-Au
618	0.209	3.279
619	0.207	3.289
620	0.205	3.3
621	0.203	3.31
622	0.201	3.32
623	0.2	3.331
624	0.198	3.341
625	0.196	3.351
626	0.195	3.361
627	0.193	3.371
628	0.191	3.38
629	0.19	3.39
630	0.188	3.4
631	0.186	3.41
632	0.185	3.42
633	0.183	3.43
634	0.182	3.44
635	0.18	3.45
636	0.178	3.46
637	0.177	3.47
638	0.175	3.48
639	0.174	3.49
640	0.172	3.5
641	0.17	3.51
642	0.169	3.52
643	0.167	3.53
644	0.166	3.54
645	0.164	3.55
646	0.162	3.56
647	0.161	3.57
648	0.159	3.58
649	0.158	3.59
650	0.156	3.6
651	0.154	3.61
652	0.152	3.62
653	0.151	3.631
654	0.149	3.641
655	0.147	3.651
656	0.146	3.661
657	0.144	3.671
658	0.143	3.68
659	0.141	3.69
660	0.14	3.7
661	0.14	3.709
662	0.139	3.718
663	0.139	3.728
664	0.138	3.737
665	0.138	3.746
666	0.138	3.755
667	0.138	3.764
668	0.138	3.772
669	0.138	3.781
670	0.138	3.79
671	0.138	3.799
672	0.137	3.808
673	0.137	3.817
674	0.137	3.826
675	0.137	3.835
676	0.136	3.844
677	0.136	3.853
678	0.136	3.862
679	0.135	3.871
680	0.135	3.88
681	0.135	3.889
682	0.135	3.898
683	0.134	3.907
684	0.134	3.916
685	0.134	3.925
686	0.134	3.934
687	0.134	3.943
688	0.133	3.952
689	0.133	3.961
690	0.133	3.97
691	0.133	3.979
692	0.133	3.988
693	0.132	3.997
694	0.132	4.006
695	0.132	4.015
696	0.132	4.024
697	0.132	4.033
698	0.131	4.042
699	0.131	4.051
700	0.131	4.06
701	0.131	4.069
702	0.131	4.078
703	0.131	4.087
704	0.131	4.096
705	0.131	4.105
706	0.131	4.114
707	0.131	4.123
708	0.131	4.132
709	0.131	4.141
710	0.131	4.15
711	0.131	4.159
712	0.131	4.168
713	0.132	4.178
714	0.132	4.187
715	0.132	4.196
716	0.132	4.205
717	0.132	4.214
718	0.133	4.222
719	0.133	4.231
720	0.133	4.24
721	0.133	4.248
722	0.133	4.256
723	0.134	4.264
724	0.134	4.272
725	0.134	4.28
726	0.134	4.288
727	0.134	4.296
728	0.135	4.304
729	0.135	4.312
730	0.135	4.32
731	0.135	4.329
732	0.135	4.338
733	0.136	4.347
734	0.136	4.356
735	0.136	4.365
736	0.136	4.374
737	0.136	4.383
738	0.137	4.392
739	0.137	4.401
740	0.137	4.41
741	0.137	4.418
742	0.137	4.426
743	0.138	4.434
744	0.138	4.442
745	0.138	4.45
746	0.138	4.458
747	0.138	4.466
748	0.139	4.474
749	0.139	4.482
750	0.139	4.49
751	0.139	4.499
752	0.139	4.508
753	0.14	4.517
754	0.14	4.526
755	0.14	4.535
756	0.14	4.544
757	0.14	4.553
758	0.141	4.562
759	0.141	4.571
760	0.141	4.58
761	0.141	4.588
762	0.142	4.596
763	0.142	4.605
764	0.142	4.613
765	0.142	4.621
766	0.143	4.629
767	0.143	4.637
768	0.143	4.644
769	0.144	4.652
770	0.144	4.66
771	0.144	4.668
772	0.145	4.676
773	0.145	4.684
774	0.145	4.692
775	0.146	4.7
776	0.146	4.708
777	0.146	4.716
778	0.146	4.724
779	0.147	4.732
780	0.147	4.74
781	0.147	4.748
782	0.148	4.756
783	0.148	4.763
784	0.148	4.771
785	0.148	4.779
786	0.149	4.787
787	0.149	4.795
788	0.149	4.804
789	0.15	4.812
790	0.15	4.82
791	0.15	4.829
792	0.151	4.838
793	0.151	4.847
794	0.152	4.856
795	0.152	4.865
796	0.152	4.874
797	0.153	4.883
798	0.153	4.892
799	0.154	4.901
800	0.154	4.91
801	0.154	4.918
802	0.155	4.926
803	0.155	4.935
804	0.155	4.943
805	0.156	4.951
806	0.156	4.959
807	0.156	4.967
808	0.156	4.974
809	0.157	4.982
810	0.157	4.99
811	0.157	4.998
812	0.158	5.006
813	0.158	5.013
814	0.158	5.021
815	0.159	5.029
816	0.159	5.037
817	0.159	5.045
818	0.16	5.054
819	0.16	5.062
820	0.16	5.07
821	0.16	5.079
822	0.16	5.088
823	0.16	5.097
824	0.161	5.106
825	0.161	5.115
826	0.161	5.124
827	0.161	5.133
828	0.161	5.142
829	0.161	5.151
830	0.161	5.16
831	0.161	5.168
832	0.161	5.176
833	0.162	5.185
834	0.162	5.193
835	0.162	5.201
836	0.162	5.209
837	0.162	5.217
838	0.163	5.224
839	0.163	5.232
840	0.163	5.24
841	0.163	5.248
842	0.163	5.256
843	0.163	5.264
844	0.164	5.272
845	0.164	5.28
846	0.164	5.288
847	0.164	5.296
848	0.164	5.304
849	0.164	5.312
850	0.164	5.32
851	0.164	5.328
852	0.164	5.336
853	0.164	5.344
854	0.164	5.352
855	0.164	5.36
856	0.165	5.368
857	0.165	5.376
858	0.165	5.384
859	0.165	5.392
860	0.165	5.4
861	0.165	5.408
862	0.165	5.416
863	0.166	5.424
864	0.166	5.432
865	0.166	5.44
866	0.166	5.448
867	0.166	5.456
868	0.167	5.464
869	0.167	5.472
870	0.167	5.48
871	0.167	5.488
872	0.167	5.496
873	0.167	5.503
874	0.167	5.511
875	0.168	5.519
876	0.168	5.527
877	0.168	5.535
878	0.168	5.544
879	0.168	5.552
880	0.168	5.56
881	0.168	5.569
882	0.168	5.578
883	0.168	5.587
884	0.169	5.596
885	0.169	5.605
886	0.169	5.614
887	0.169	5.623
888	0.17	5.632
889	0.17	5.641
890	0.17	5.65
891	0.17	5.658
892	0.171	5.667
893	0.171	5.675
894	0.171	5.683
895	0.172	5.691
896	0.172	5.699
897	0.173	5.707
898	0.173	5.715
899	0.174	5.722
900	0.174	5.73
901	0.175	5.737
902	0.175	5.744
903	0.176	5.752
904	0.176	5.759
905	0.177	5.766
906	0.178	5.773
907	0.178	5.78
908	0.179	5.786
909	0.179	5.793
910	0.18	5.8
911	0.181	5.807
912	0.181	5.814
913	0.182	5.82
914	0.182	5.827
915	0.183	5.834
916	0.183	5.841
917	0.184	5.848
918	0.184	5.856
919	0.185	5.863
920	0.185	5.87
921	0.186	5.878
922	0.186	5.886
923	0.187	5.894
924	0.187	5.902
925	0.188	5.91
926	0.189	5.918
927	0.189	5.926
928	0.19	5.934
929	0.19	5.942
930	0.191	5.95
931	0.192	5.957
932	0.192	5.964
933	0.193	5.971
934	0.193	5.978
935	0.194	5.985
936	0.194	5.992
937	0.195	5.999
938	0.195	6.006
939	0.196	6.013
940	0.196	6.02
941	0.197	6.028
942	0.197	6.036
943	0.198	6.044
944	0.198	6.052
945	0.199	6.06
946	0.2	6.068
947	0.2	6.076
948	0.201	6.084
949	0.201	6.092
950	0.202	6.1
951	0.203	6.107
952	0.203	6.114
953	0.204	6.121
954	0.204	6.128
955	0.205	6.135
956	0.205	6.142
957	0.206	6.149
958	0.206	6.156
959	0.207	6.163
960	0.207	6.17
961	0.208	6.178
962	0.208	6.186
963	0.208	6.194
964	0.209	6.202
965	0.209	6.21
966	0.21	6.218
967	0.21	6.226
968	0.211	6.234
969	0.212	6.242
970	0.212	6.25
971	0.213	6.257
972	0.213	6.264
973	0.214	6.271
974	0.214	6.278
975	0.215	6.285
976	0.216	6.292
977	0.216	6.299
978	0.217	6.306
979	0.217	6.313
980	0.218	6.32
981	0.219	6.328
982	0.219	6.336
983	0.22	6.344
984	0.221	6.352
985	0.221	6.36
986	0.222	6.368
987	0.222	6.376
988	0.223	6.384
989	0.223	6.392
990	0.224	6.4
991	0.225	6.407
992	0.225	6.415
993	0.225	6.422
994	0.226	6.429
995	0.226	6.436
996	0.227	6.443
997	0.227	6.45
998	0.227	6.457
999	0.228	6.463
1000	0.228	6.47
