lambda	n1-Si	k1-Si
635	1.456997674	0
636	1.456969767	0
637	1.45694186	0
638	1.456913953	0
639	1.456886047	0
640	1.45685814	0
641	1.456830233	0
642	1.456802326	0
643	1.456774419	0
644	1.456746512	0
645	1.456718605	0
646	1.456690698	0
647	1.456662791	0
648	1.456634884	0
649	1.456606977	0
650	1.45657907	0
651	1.456551163	0
652	1.456523256	0
653	1.456495349	0
654	1.456467442	0
655	1.456439535	0
656	1.456411628	0
657	1.456383721	0
658	1.456355814	0
659	1.456327907	0
660	1.4563	0
661	1.456275556	0
662	1.456251111	0
663	1.456226667	0
664	1.456202222	0
665	1.456177778	0
666	1.456153333	0
667	1.456128889	0
668	1.456104444	0
669	1.45608	0
670	1.456055556	0
671	1.456031111	0
672	1.456006667	0
673	1.455982222	0
674	1.455957778	0
675	1.455933333	0
676	1.455908889	0
677	1.455884444	0
678	1.45586	0
679	1.455835556	0
680	1.455811111	0
681	1.455786667	0
682	1.455762222	0
683	1.455737778	0
684	1.455713333	0
685	1.455688889	0
686	1.455664444	0
687	1.45564	0
688	1.455615556	0
689	1.455591111	0
690	1.455566667	0
691	1.455542222	0
692	1.455517778	0
693	1.455493333	0
694	1.455468889	0
695	1.455444444	0
696	1.45542	0
697	1.455395556	0
698	1.455371111	0
699	1.455346667	0
700	1.455322222	0
701	1.455297778	0
702	1.455273333	0
703	1.455248889	0
704	1.455224444	0
705	1.4552	0
706	1.455178431	0
707	1.455156863	0
708	1.455135294	0
709	1.455113725	0
710	1.455092157	0
711	1.455070588	0
712	1.45504902	0
713	1.455027451	0
714	1.455005882	0
715	1.454984314	0
716	1.454962745	0
717	1.454941176	0
718	1.454919608	0
719	1.454898039	0
720	1.454876471	0
721	1.454854902	0
722	1.454833333	0
723	1.454811765	0
724	1.454790196	0
725	1.454768627	0
726	1.454747059	0
727	1.45472549	0
728	1.454703922	0
729	1.454682353	0
730	1.454660784	0
731	1.454639216	0
732	1.454617647	0
733	1.454596078	0
734	1.45457451	0
735	1.454552941	0
736	1.454531373	0
737	1.454509804	0
738	1.454488235	0
739	1.454466667	0
740	1.454445098	0
741	1.454423529	0
742	1.454401961	0
743	1.454380392	0
744	1.454358824	0
745	1.454337255	0
746	1.454315686	0
747	1.454294118	0
748	1.454272549	0
749	1.45425098	0
750	1.454229412	0
751	1.454207843	0
752	1.454186275	0
753	1.454164706	0
754	1.454143137	0
755	1.454121569	0
756	1.4541	0
757	1.454083077	0
758	1.454066154	0
759	1.454049231	0
760	1.454032308	0
761	1.454015385	0
762	1.453998462	0
763	1.453981538	0
764	1.453964615	0
765	1.453947692	0
766	1.453930769	0
767	1.453913846	0
768	1.453896923	0
769	1.45388	0
770	1.453863077	0
771	1.453846154	0
772	1.453829231	0
773	1.453812308	0
774	1.453795385	0
775	1.453778462	0
776	1.453761538	0
777	1.453744615	0
778	1.453727692	0
779	1.453710769	0
780	1.453693846	0
781	1.453676923	0
782	1.45366	0
783	1.453643077	0
784	1.453626154	0
785	1.453609231	0
786	1.453592308	0
787	1.453575385	0
788	1.453558462	0
789	1.453541538	0
790	1.453524615	0
791	1.453507692	0
792	1.453490769	0
793	1.453473846	0
794	1.453456923	0
795	1.45344	0
796	1.453423077	0
797	1.453406154	0
798	1.453389231	0
799	1.453372308	0
800	1.453355385	0
801	1.453338462	0
802	1.453321538	0
803	1.453304615	0
804	1.453287692	0
805	1.453270769	0
806	1.453253846	0
807	1.453236923	0
808	1.45322	0
809	1.453203077	0
810	1.453186154	0
811	1.453169231	0
812	1.453152308	0
813	1.453135385	0
814	1.453118462	0
815	1.453101538	0
816	1.453084615	0
817	1.453067692	0
818	1.453050769	0
819	1.453033846	0
820	1.453016923	0
821	1.453	0
822	1.452984507	0
823	1.452969014	0
824	1.452953521	0
825	1.452938028	0
826	1.452922535	0
827	1.452907042	0
828	1.452891549	0
829	1.452876056	0
830	1.452860563	0
831	1.45284507	0
832	1.452829577	0
833	1.452814085	0
834	1.452798592	0
835	1.452783099	0
836	1.452767606	0
837	1.452752113	0
838	1.45273662	0
839	1.452721127	0
840	1.452705634	0
841	1.452690141	0
842	1.452674648	0
843	1.452659155	0
844	1.452643662	0
845	1.452628169	0
846	1.452612676	0
847	1.452597183	0
848	1.45258169	0
849	1.452566197	0
850	1.452550704	0
851	1.452535211	0
852	1.452519718	0
853	1.452504225	0
854	1.452488732	0
855	1.452473239	0
856	1.452457746	0
857	1.452442254	0
858	1.452426761	0
859	1.452411268	0
860	1.452395775	0
861	1.452380282	0
862	1.452364789	0
863	1.452349296	0
864	1.452333803	0
865	1.45231831	0
866	1.452302817	0
867	1.452287324	0
868	1.452271831	0
869	1.452256338	0
870	1.452240845	0
871	1.452225352	0
872	1.452209859	0
873	1.452194366	0
874	1.452178873	0
875	1.45216338	0
876	1.452147887	0
877	1.452132394	0
878	1.452116901	0
879	1.452101408	0
880	1.452085915	0
881	1.452070423	0
882	1.45205493	0
883	1.452039437	0
884	1.452023944	0
885	1.452008451	0
886	1.451992958	0
887	1.451977465	0
888	1.451961972	0
889	1.451946479	0
890	1.451930986	0
891	1.451915493	0
892	1.4519	0
893	1.451884507	0
894	1.451869014	0
895	1.451853521	0
896	1.451838028	0
897	1.451822535	0
898	1.451807042	0
899	1.451791549	0
900	1.451776056	0
901	1.451760563	0
902	1.45174507	0
903	1.451729577	0
904	1.451714085	0
905	1.451698592	0
906	1.451683099	0
907	1.451667606	0
908	1.451652113	0
909	1.45163662	0
910	1.451621127	0
911	1.451605634	0
912	1.451590141	0
913	1.451574648	0
914	1.451559155	0
915	1.451543662	0
916	1.451528169	0
917	1.451512676	0
918	1.451497183	0
919	1.45148169	0
920	1.451466197	0
921	1.451450704	0
922	1.451435211	0
923	1.451419718	0
924	1.451404225	0
925	1.451388732	0
926	1.451373239	0
927	1.451357746	0
928	1.451342254	0
929	1.451326761	0
930	1.451311268	0
931	1.451295775	0
932	1.451280282	0
933	1.451264789	0
934	1.451249296	0
935	1.451233803	0
936	1.45121831	0
937	1.451202817	0
938	1.451187324	0
939	1.451171831	0
940	1.451156338	0
941	1.451140845	0
942	1.451125352	0
943	1.451109859	0
944	1.451094366	0
945	1.451078873	0
946	1.45106338	0
947	1.451047887	0
948	1.451032394	0
949	1.451016901	0
950	1.451001408	0
951	1.450985915	0
952	1.450970423	0
953	1.45095493	0
954	1.450939437	0
955	1.450923944	0
956	1.450908451	0
957	1.450892958	0
958	1.450877465	0
959	1.450861972	0
960	1.450846479	0
961	1.450830986	0
962	1.450815493	0
963	1.4508	0
964	1.450784507	0
965	1.450769014	0
966	1.450753521	0
967	1.450738028	0
968	1.450722535	0
969	1.450707042	0
970	1.450691549	0
971	1.450676056	0
972	1.450660563	0
973	1.45064507	0
974	1.450629577	0
975	1.450614085	0
976	1.450598592	0
977	1.450583099	0
978	1.450567606	0
979	1.450552113	0
980	1.45053662	0
981	1.450521127	0
982	1.450505634	0
983	1.450490141	0
984	1.450474648	0
985	1.450459155	0
986	1.450443662	0
987	1.450428169	0
988	1.450412676	0
989	1.450397183	0
990	1.45038169	0
991	1.450366197	0
992	1.450350704	0
993	1.450335211	0
994	1.450319718	0
995	1.450304225	0
996	1.450288732	0
997	1.450273239	0
998	1.450257746	0
999	1.450242254	0
1000	1.450226761	0
