Lambda	Qext	Qsca	Qabs	Cext	Csca	Cabs	Qnf_1	Qnf_2	Qnf_3
687.0	0.4021303445442413	0.20141465349929488	0.2007156910449464	1136.9967625851486	569.4865161828467	567.510246402302	5.060638763547264	2.3645058170146696	9.007310772824116
688.0	0.39607620400133453	0.1986389265414131	0.19743727745992143	1119.8790834770923	561.6383331055193	558.240750371573	5.036748644405409	2.359951141658138	8.933765442849069
689.0	0.3907083247827568	0.19600497402688805	0.19470335075586875	1104.7017625504952	554.1910078229367	550.5107547275585	5.013985537951504	2.354970742546186	8.865416889847708
690.0	0.38544969167027565	0.19342183684058556	0.1920278548296901	1089.83332771181	546.8873594960045	542.9459682158055	4.991500187663252	2.350050636283339	8.798243285673848
691.0	0.3802972983649492	0.19088819815867644	0.18940910020627275	1075.265278851033	539.7236648930615	535.5416139579714	4.9692878722304	2.3451897923950757	8.732215705525537
692.0	0.3752482428894225	0.18840278425103985	0.18684545863838264	1060.9894108204992	532.6963226270366	528.2930881934626	4.94734397287358	2.340387204019623	8.667306144433802
693.0	0.3702997232392369	0.18596436278089934	0.18433536045833754	1046.9978011392482	525.8018483477824	521.1959527914657	4.925663970644823	2.335641887230803	8.603487481718384
694.0	0.3654490332445721	0.1835717411826091	0.18187729206196301	1033.282798292376	519.0368701553745	514.2459281370014	4.904243443811344	2.33095288038415	8.54073344704726
695.0	0.3606935586308378	0.18122376511349533	0.17946979351734246	1019.8370105926194	512.3981242227952	507.4388863698242	4.883078065319748	2.326319243485261	8.479018588016732
696.0	0.356030773267292	0.1789193169759122	0.17711145629137978	1006.653295573576	505.8824506171464	500.7708449564296	4.86216360033755	2.3217400575794565	8.418318239175067
697.0	0.3514582355935887	0.17665731450592492	0.17480092108766376	993.724749886004	499.48678930924376	494.23796057676026	4.841495903869724	2.3172144241620645	8.358608492417368
698.0	0.34697358521460375	0.17443670942517184	0.17253687578943191	981.0446996699201	493.20817636184756	487.8365233080725	4.821070918447222	2.3127414646084357	8.299866168681632
699.0	0.3425745396546434	0.17225648615272984	0.17031805350191356	968.6066913773396	487.04374028754717	481.5629510897925	4.800884671885242	2.3083203196228594	8.242068790882152
700.0	0.3382588912625092	0.17011566057391803	0.16814323068859116	956.4044830215548	480.9906985676361	475.4137844539187	4.780933275108869	2.3039501487058143	8.185194558017796
701.0	0.33402450425954966	0.16801327886320955	0.1660112253963401	944.4320358306963	475.04635432397316	469.3856815067232	4.761212920043582	2.299630129638743	8.129222320398304
702.0	0.32986931192311353	0.16594841635851454	0.163920895564599	932.683506284136	469.2080931360926	463.4754131480434	4.741719877568483	2.295359457985657	8.074131555932398
703.0	0.32579131389845045	0.1639201764843186	0.16187113741413184	921.1532385120644	463.47337999645	457.6798585156144	4.722450495530341	2.291137346611024	8.019902347427283
704.0	0.3217885736323462	0.16192768972123855	0.15986088391110764	909.8357570392653	457.8397563969095	451.99600064235585	4.703401196815947	2.2869630252133124	7.966515360849292
