#Refrac	Qext	Qsca	Qabs	Qnf
(3+0j)	0.19181308897014007	0.19181308897014024	-1.6653345369377348e-16	1.5846759370105514
(3+0.1j)	0.26602453913440627	0.19126464013648217	0.0747598989979241	1.5803443643387707
(3+0.2j)	0.3398954439844274	0.19154499929423863	0.14835044469018877	1.5828705736741318
(3+0.3j)	0.4129020534549646	0.19263849451251314	0.22026355894245148	1.592124603822798
(3+0.4j)	0.48455144484874485	0.19452435676412513	0.29002708808461974	1.6079335654990659
(3+0.5j)	0.5543889416746804	0.19717689501484956	0.35721204665983086	1.630083061672627
(3+0.6j)	0.622003538807456	0.20056562205614142	0.42143791675131453	1.6583182181842986
(3+0.7j)	0.6870313028330366	0.2046553534438194	0.4823759493892172	1.6923445166226334
(3+0.8j)	0.7491568990174714	0.20940630611269156	0.5397505929047799	1.7318286552679347
(3+0.9j)	0.8081135341745698	0.214774225228267	0.5933393089463028	1.7763996782102687
(3+1j)	0.863681684239569	0.22071056746395065	0.6429711167756184	1.8256506066339522
(3+1.1j)	0.9156869951190261	0.2271627661111401	0.6885242290078859	1.8791407798059168
(3+1.2j)	0.9639977139488198	0.23407459834021502	0.7299231156086048	1.9363990678155172
(3+1.3j)	1.0085219401752321	0.24138666781090648	0.7671352723643257	1.996928056340838
(3+1.4j)	1.049204899149941	0.24903700715442667	0.8001678919955143	2.060209229937936
(3+1.5j)	1.086026351423992	0.25696179527452745	0.8290645561494646	2.1257091002341792
(3+1.6j)	1.1189981715358879	0.2650961747388704	0.8539019967970174	2.1928861456411055
(3+1.7j)	1.148162069287336	0.27337514562160153	0.8747869236657344	2.2611983568780167
(3+1.8j)	1.173587388233164	0.2817345048503199	0.8918528833828441	2.330111124439997
(3+1.9j)	1.1953689003808403	0.29011179511135077	0.9052571052694895	2.399105165688978
(3+2j)	1.2136245199189875	0.29844722515649996	0.9151772947624874	2.4676841741136792
(3+2.1j)	1.2284928773037265	0.3066845241211547	0.9218083531825718	2.5353818827033727
(3+2.2j)	1.2401307225220355	0.3147716960795944	0.9253590264424412	2.6017682659461596
(3+2.3j)	1.248710157184439	0.32266164710457074	0.9260485100798683	2.666454656963628
(3+2.4j)	1.2544157243899927	0.33031266490713806	0.9241030594828546	2.7290976221707077
(3+2.5j)	1.2574414093659496	0.337688739912397	0.9197526694535526	2.789401508992259
(3+2.6j)	1.2579876204210036	0.344759725547337	0.9132278948736666	2.847119655783024
(3+2.7j)	1.2562582278560572	0.35150134381742165	0.9047568840386355	2.902054321027194
(3+2.8j)	1.2524577384388391	0.3578950493177811	0.8945626891210581	2.954055446252653
(3+2.9j)	1.2467886760602007	0.36392777025140033	0.8828609058088004	3.003018410657341
(3+3j)	1.2394492270012318	0.36959154861507815	0.8698576783861537	3.0488809637539624
(3+3.1j)	1.2306311928268172	0.3748831034699188	0.8557480893568984	3.0916195355713785
(3+3.2j)	1.2205182771997687	0.37980334130673	0.8407149358930387	3.1312451236016234
(3+3.3j)	1.209284716532331	0.38435683623202344	0.8249278803003076	3.167798944151795
(3+3.4j)	1.1970942496254737	0.38855130038286473	0.808542949242609	3.201348015924073
(3+3.5j)	1.1840994091289538	0.3923970619874761	0.7917023471414777	3.231980818464001
(3+3.6j)	1.1704411082162414	0.39590656515781064	0.7745345430584307	3.2598031403267473
(3+3.7j)	1.1562484893896376	0.3990939021149673	0.7571545872746703	3.2849342037310723
(3+3.8j)	1.1416389986300137	0.4019743853295934	0.7396646133004203	3.307503125891962
(3+3.9j)	1.126718646823991	0.40456416416232427	0.7221544826616666	3.3276457533891732
