#Refrac	Qext	Qsca	Qabs	Qnf
4j	0.6440089347384303	0.6440089347384305	-1.1102230246251565e-16	5.3372247894432565
(0.1+4j)	0.696970050740126	0.639953034337815	0.05701701640231094	5.304129605149415
(0.2+4j)	0.7475346304489772	0.6346083661745894	0.11292626427438779	5.260328936371171
(0.3+4j)	0.795271256458425	0.6280797824125686	0.16719147404585644	5.206680088094102
(0.4+4j)	0.8398323134742026	0.6204935158181469	0.21933879765605568	5.144216760553898
(0.5+4j)	0.8809605451057901	0.611991299904239	0.2689692452015512	5.0741009288016565
(0.6+4j)	0.9184904531578638	0.6027242498166167	0.31576620334124716	4.997572693277734
(0.7+4j)	0.9523450432155016	0.5928469503196024	0.3594980928958992	4.915901757888216
(0.8+4j)	0.9825287587910901	0.5825121152516439	0.4000166435394462	4.830343527117881
(0.9+4j)	1.0091176348077673	0.5718660746299457	0.43725156017782163	4.742101932983681
(1+4j)	1.0322477442782076	0.5610452307409568	0.47120251353725084	4.652300165585151
(1.1+4j)	1.0521029360090421	0.5501735192578905	0.5019294167511517	4.561959620020437
(1.2+4j)	1.0689027038123269	0.5393608264287638	0.5295418773835631	4.47198667567574
(1.3+4j)	1.0828908285538408	0.5287022536054842	0.5541885749483566	4.383166432125766
(1.4+4j)	1.094325227518362	0.5182780858310133	0.5760471416873486	4.29616223963223
(1.5+4j)	1.1034692559189079	0.5081543084749289	0.595314947443979	4.211519754302345
(1.6+4j)	1.110584547783013	0.4983835198653203	0.6122010279176926	4.1296742767634
(1.7+4j)	1.1159253639760929	0.4890061029771266	0.6269192609989662	4.050960253803182
(1.8+4j)	1.119734333283891	0.4800515405102506	0.6396827927736404	3.975621994136427
(1.9+4j)	1.1222394236890831	0.47153978115416345	0.6506996425349196	3.9038248398372946
(2+4j)	1.123651958684096	0.46348258767881534	0.6601693710052807	3.8356662209776187
(2.1+4j)	1.1241654907007639	0.45588481797593977	0.668280672724824	3.7711861882918174
(2.2+4j)	1.1239553541292184	0.4487456074291071	0.6752097467001114	3.7103771599838544
(2.3+4j)	1.1231787386528682	0.4420594347731311	0.6811193038797372	3.6531927319777773
(2.4+4j)	1.121975145691817	0.4358170640795885	0.6861580816122286	3.5995554872224886
(2.5+4j)	1.1204671137471627	0.43000636307027457	0.6904607506768881	3.5493638022214324
(2.6+4j)	1.1187611204914674	0.4246130031069555	0.6941481173845119	3.5024976917214112
(2.7+4j)	1.1169485894542133	0.41962104943752704	0.6973275400166863	3.45882375952907
(2.8+4j)	1.1151069465707022	0.41501345205910506	0.7000934945115971	3.4181993384875655
(2.9+4j)	1.1133006865516955	0.41077244828571513	0.7025282382659803	3.3804759089793674
(3+4j)	1.1115824210851046	0.40687988810676495	0.7047025329783396	3.345501885575727
(3.1+4j)	1.1099938905333124	0.40331749294614394	0.7066763975871685	3.3131248577094214
(3.2+4j)	1.1085669283353876	0.4000670576715021	0.7084998706638855	3.2831933640770234
(3.3+4j)	1.1073243730716433	0.39711060479738647	0.7102137682742569	3.255558273026198
(3.4+4j)	1.1062809273916259	0.3944304988704655	0.7118504285211604	3.2300738332549255
(3.5+4j)	1.1054439660081627	0.3920095280837711	0.7134344379243917	3.206598451282683
(3.6+4j)	1.10481429694436	0.3898309592786404	0.7149833376657195	3.184995244687112
(3.7+4j)	1.1043868813753814	0.3878785716793436	0.7165083096960378	3.1651324132302046
(3.8+4j)	1.104151517887462	0.3861366739749535	0.7180148439125085	3.146883463818818
(3.9+4j)	1.104093496909474	0.38459010871621435	0.7195033881932597	3.130127319780434
